productid,marketshare_in_cat,share_of_cust_bought_prod,share_prod_spend,share_of_cust_bought_cat,share_cat_spend,avg_price_per_cheapest_common_unit,avg_price_per_most_common_unit,marketshare_in_dep,share_of_cust_bought_dep,share_dep_spend
5558 107120272 5072,0.0,0.0,0.0,0.46766169154228854,3.568297505154904e-05,0.0,0.0,0.0,0.9203980099502488,0.00035255643550073223
6202 1087744888 64486,0.0,0.0,0.0,0.2935323383084577,1.611654673235562e-05,0.0,0.0,0.0,0.5223880597014925,4.9914632392104445e-05
7205 103700030 4294,0.25363489499192243,0.30845771144278605,1.0152992201882165e-05,0.7064676616915423,3.655591651167519e-05,3.247222222222223,3.7149999999999994,0.10411140583554376,0.8258706467661692,0.00010005087746370728
5824 105190050 26456,0.0020942408376963353,0.009950248756218905,2.0926194946919022e-07,0.746268656716418,0.00010071946570005523,4.493333333333333,4.493333333333333,0.00024437927663734115,0.9950248756218906,0.0008979985928586021
9909 107127979 6732,0.5091848450057406,0.7661691542288557,9.943630967584976e-05,0.9104477611940298,0.00020705642343502574,1.8252966101694954,1.8252966101694954,0.17541777909621278,1.0,0.0006115341967363892
2202 104460040 3718,0.0,0.0,0.0,0.029850746268656716,2.1513826124034896e-07,0.0,0.0,0.0,0.7263681592039801,6.277402075332918e-05
3504 104460040 7668,0.0,0.0,0.0,0.681592039800995,3.889261916398999e-05,0.0,0.0,0.0,0.8656716417910447,0.00018703299198098318
3509 103320030 875,0.28870292887029286,0.21890547263681592,1.6335567044869114e-05,0.5124378109452736,6.32167412816139e-05,4.452456140350879,4.452456140350879,0.0852378011117974,0.8656716417910447,0.00018703299198098318
5616 104610040 15889,0.22682268226822683,0.36318407960199006,1.585833686587827e-05,0.6766169154228856,8.013206944934513e-05,3.332666666666666,3.538082191780823,0.032868136167992695,0.9900497512437811,0.0006383023362330054
5619 107717272 102504,0.0,0.0,0.0,0.14925373134328357,1.245247834948581e-05,0.0,0.0,0.0,0.9900497512437811,0.0006383023362330054
4517 105450050 1322,0.08247422680412371,0.03482587064676617,2.1767726408310366e-06,0.18407960199004975,1.887432191586943e-05,7.682222222222222,7.682222222222222,0.005148005148005148,0.7661691542288557,0.0003858031968301453
4401 105100050 13791,0.2916666666666667,0.029850746268656716,4.0676622319751856e-06,0.11442786069651742,7.680467306079576e-06,4.641000000000001,4.641000000000001,0.022690437601296597,0.4925373134328358,6.303881130910506e-05
1726 104460040 7668,0.018292682926829267,0.004975124378109453,1.8436322188452038e-07,0.2736318407960199,1.2215252734667993e-05,3.123333333333333,3.123333333333333,0.00272975432211101,0.7512437810945274,7.607514638663568e-05
9909 1089520383 28840,0.0014351320321469576,0.014925373134328358,1.7335754213521464e-07,0.9104477611940298,0.00020705642343502574,3.47,3.47,0.0004944131316127757,1.0,0.0006115341967363892
799 1076211171 17286,0.0,0.0,0.0,0.014925373134328358,2.524570417278222e-07,0.0,0.0,0.0,0.8109452736318408,0.0002898993563335439
5122 107106878 17311,0.05327868852459016,0.03980099502487562,9.802704119134277e-07,0.2835820895522388,3.25685277012312e-05,3.7550000000000003,3.7550000000000003,0.0024317246539468764,0.8855721393034826,0.00046735409643567304
3203 106414464 13474,0.4228571428571429,0.208955223880597,5.310840061420559e-06,0.3582089552238806,1.1940197372667022e-05,2.7637500000000004,3.376046511627906,0.0853517877739331,0.845771144278607,0.0001012628647219437
1703 104460040 7668,0.002638522427440633,0.004975124378109453,2.989331934954407e-08,0.48258706467661694,2.4535875378294416e-05,4.19,4.19,0.0009099181073703367,0.7512437810945274,7.607514638663568e-05
706 104127141 26189,0.11846689895470383,0.07960199004975124,3.608271069042545e-06,0.30845771144278605,2.6510637306322938e-05,3.6496969696969703,3.6496969696969703,0.01632261161785886,0.8109452736318408,0.0002898993563335439
9115 108500080 93904,0.02197802197802198,0.009950248756218905,3.337792504838863e-07,0.12935323383084577,2.0144979657969122e-05,13.15,13.15,0.0024067388688327317,0.40298507462686567,0.00020325704708338627
2119 108079383 6926,0.008237232289950576,0.009950248756218905,1.105420537302298e-06,0.472636815920398,3.996621792868857e-05,1.69,1.69,0.0012830382345393892,0.9353233830845771,0.00028720316413455527
