id,total_spend_30,dep_spend_30,dep_count_30,visits_30,prodid_spend_30,prodid_count_30,prodid_spend_all,prodid_count_all,prodid_spend_corr
86246,16422.18000000003,54.24000000000001,20.0,29,0,0,0,0,-0.0
86252,29579.54000000104,157.99,45.0,28,1.99,1.0,4.98,2.0,4.98
12682470,125.65999999999993,0,0,7,0,0,0,0,-42.285714285714285
12996040,109.62,0,0,3,0,0,0,0,-42.285714285714285
13089312,336.7500000000001,15.75,6.0,15,0,0,0,0,-0.0
13179265,197.30000000000007,2.99,1.0,7,0,0,0,0,-42.285714285714285
13251776,1326.7000000000012,2.99,1.0,12,0,0,0,0,-1.8292682926829267
13540129,96.18999999999998,0,0,12,0,0,0,0,-1.8292682926829267
13807224,429.6800000000002,48.900000000000006,13.0,12,0,0,19.46,6.0,19.46
13873775,500.5900000000001,0,0,10,0,0,0,0,-42.285714285714285
13974451,66.04,0,0,3,0,0,0,0,-42.285714285714285
14088807,0,0,0,0,0,0,0,0,-1.8292682926829267
14381137,131.19,0,0,2,0,0,0,0,-42.285714285714285
14576147,59.03000000000001,0,0,3,0,0,0,0,-42.285714285714285
15530842,82.04,0,0,4,0,0,0,0,-42.285714285714285
15705695,84.40000000000002,0,0,3,0,0,0,0,-42.285714285714285
15738658,84.16,3.99,1.0,3,0,0,0,0,-42.285714285714285
15753725,574.0800000000002,0,0,4,0,0,0,0,-0.0
15941277,186.13,3.99,1.0,4,0,0,0,0,-42.285714285714285
15994113,240.80000000000007,0,0,9,0,0,0,0,-42.285714285714285
16138642,69.0,0,0,5,0,0,0,0,-22.682268226822682
16203579,850.7400000000006,0,0,25,0,0,0,0,-42.285714285714285
16238376,37.45,0,0,2,0,0,0,0,-42.285714285714285
16535563,328.6200000000001,45.67,4.0,2,0,0,0,0,-0.0
16606739,300.8900000000001,0,0,7,0,0,0,0,-0.0
16646740,337.29000000000013,0,0,8,0,0,0,0,-42.285714285714285
16691816,257.09000000000003,1.98,2.0,8,0,0,0,0,-28.870292887029287
16749437,179.96,0,0,4,0,0,0,0,-42.285714285714285
16797008,291.13000000000005,6.49,1.0,5,0,0,3.49,1.0,3.49
17456470,980.6700000000005,5.99,1.0,14,0,0,0,0,-0.0
17472223,173.76,9.99,1.0,2,0,0,0,0,-28.870292887029287
17486592,752.9000000000003,3.39,1.0,7,0,0,0,0,-42.285714285714285
17693343,35.150000000000006,0,0,6,0,0,0,0,-42.285714285714285
17764186,75.05999999999999,0,0,6,0,0,0,0,-42.285714285714285
17888308,590.1100000000005,31.230000000000004,7.0,8,0,0,0,0,-22.682268226822682
17995179,57.160000000000004,0,0,7,0,0,0,0,-42.285714285714285
18249735,365.2400000000003,0,0,8,0,0,0,0,-42.285714285714285
18259179,47.55,0,0,4,0,0,0,0,-0.0
18277411,422.3000000000002,12.97,3.0,16,0,0,62.350000000000016,15.0,62.350000000000016
18938874,103.69,0,0,3,0,0,0,0,-42.285714285714285
19069700,332.43,0,0,3,0,0,0,0,-42.285714285714285
19330664,197.74000000000004,0,0,15,0,0,0,0,-42.285714285714285
19506471,227.23000000000002,0,0,7,0,0,0,0,-42.285714285714285
19591356,180.10000000000002,0,0,7,0,0,0,0,-42.285714285714285
19773748,231.67000000000007,0,0,7,0,0,0,0,-42.285714285714285
19899195,92.38,0,0,5,0,0,0,0,-42.285714285714285
21024070,534.1800000000003,0,0,11,0,0,0,0,-0.0
21419778,487.1400000000001,0,0,12,0,0,0,0,-42.285714285714285
21603296,311.1800000000001,0,0,8,0,0,0,0,-0.0
21622166,223.67000000000004,0,0,3,0,0,0,0,-42.285714285714285
21837001,101.31,0,0,5,0,0,7.68,2.0,7.68
21860840,315.71000000000015,0,0,4,0,0,0,0,-42.285714285714285
22077078,127.7,0,0,7,0,0,0,0,-42.285714285714285
22491084,360.61000000000024,0,0,17,0,0,0,0,-42.285714285714285
22709494,81.64,7.98,2.0,5,0,0,0,0,-0.0
22725281,422.3500000000003,0,0,9,0,0,0,0,-42.285714285714285
22791304,84.52999999999999,0,0,4,0,0,0,0,-42.285714285714285
22816872,11.09,0,0,1,0,0,0,0,-42.285714285714285
23270065,98.84,0,0,5,0,0,0,0,-42.285714285714285
23412989,150.17,0,0,4,0,0,3.49,1.0,3.49
23447825,210.26000000000002,2.99,1.0,8,0,0,0,0,-42.285714285714285
23486921,122.52000000000001,0,0,6,0,0,0,0,-42.285714285714285
23791057,197.67000000000002,0,0,6,0,0,0,0,-0.0
44975538,383.6400000000001,0,0,11,0,0,0,0,-42.285714285714285
48445984,661.2700000000006,10.98,3.0,14,0,0,0,0,-42.285714285714285
48464291,279.92000000000013,14.48,2.0,6,0,0,0,0,-0.0
48468053,522.9300000000001,0,0,5,0,0,0,0,-42.285714285714285
48682962,287.61000000000007,0,0,4,0,0,0,0,-42.285714285714285
48693550,283.9799999999999,0,0,4,0,0,0,0,-42.285714285714285
48991232,84.58,0,0,3,0,0,0,0,-42.285714285714285
49165299,322.87000000000023,14.57,3.0,5,0,0,0,0,-1.8292682926829267
49315424,70.84,0,0,5,0,0,0,0,-42.285714285714285
49326153,347.5300000000002,0,0,11,0,0,0,0,-42.285714285714285
49434116,151.47000000000006,0,0,5,0,0,0,0,-42.285714285714285
49451971,154.44000000000005,0,0,5,0,0,0,0,-42.285714285714285
49613173,239.94000000000014,5.48,2.0,3,0,0,0,0,-1.8292682926829267
49806426,680.0200000000001,7.78,2.0,12,0,0,0,0,-1.8292682926829267
49817353,44.49,0,0,1,0,0,0,0,-42.285714285714285
49914843,21.98,0,0,1,0,0,0,0,-42.285714285714285
50380832,130.73999999999998,0,0,2,0,0,0,0,-42.285714285714285
50411403,0,0,0,0,0,0,0,0,-42.285714285714285
50622160,0,0,0,0,0,0,0,0,-42.285714285714285
50808053,30.320000000000007,0,0,1,0,0,0,0,-42.285714285714285
50865818,416.06000000000023,0,0,12,0,0,0,0,-42.285714285714285
50869828,469.3000000000004,9.780000000000001,2.0,5,0,0,0,0,-42.285714285714285
51099044,201.69000000000003,0,0,6,0,0,0,0,-42.285714285714285
51122746,391.8200000000001,10.49,1.0,6,0,0,0,0,-42.285714285714285
51150009,157.85,2.88,1.0,4,0,0,0,0,-42.285714285714285
51441524,366.92000000000024,0,0,4,0,0,0,0,-42.285714285714285
51531106,953.3000000000006,24.97,4.0,6,0,0,0,0,-42.285714285714285
52503923,54.680000000000014,0,0,3,0,0,0,0,-0.0
52566892,257.62000000000006,5.49,1.0,5,0,0,0,0,-1.8292682926829267
52598384,293.0400000000002,0,0,10,0,0,0,0,-42.285714285714285
52732914,128.55,0,0,6,0,0,0,0,-42.285714285714285
52933935,21.73,0,0,3,0,0,0,0,-42.285714285714285
53002206,238.6500000000001,0,0,7,0,0,0,0,-42.285714285714285
53024321,172.54,3.14,1.0,4,3.14,1.0,1.7300000000000002,3.0,1.7300000000000002
53042409,468.53000000000026,0,0,5,0,0,0,0,-42.285714285714285
53066499,853.9100000000008,0,0,8,0,0,0,0,-42.285714285714285
53078911,169.45000000000002,0,0,8,0,0,0,0,-1.8292682926829267
53250970,357.66000000000025,12.47,3.0,4,0,0,0,0,-22.682268226822682
53391520,99.78999999999999,0,0,5,0,0,0,0,-42.285714285714285
53421384,454.88,0,0,6,0,0,0,0,-42.285714285714285
53994426,233.18000000000004,0,0,7,0,0,0,0,-42.285714285714285
54108377,10.0,0,0,1,0,0,0,0,-42.285714285714285
54196583,99.69999999999999,0,0,10,0,0,0,0,-1.8292682926829267
54625209,456.30000000000035,9.18,2.0,4,0,0,0,0,-0.0
54825809,0,0,0,0,0,0,0,0,-42.285714285714285
55253605,682.9800000000007,10.030000000000001,2.0,11,0,0,0,0,-42.285714285714285
55431649,136.23999999999998,0,0,6,0,0,0,0,-42.285714285714285
55488429,155.67000000000002,0,0,4,0,0,0,0,-42.285714285714285
55882738,418.7400000000001,5.19,1.0,9,0,0,0,0,-0.0
56118474,173.87,4.38,2.0,6,0,0,0,0,-0.0
56554319,105.5,6.98,2.0,3,6.98,2.0,6.98,2.0,6.98
56912376,621.8200000000003,0,0,17,0,0,0,0,-42.285714285714285
56939637,39.88,0,0,1,0,0,0,0,-1.8292682926829267
57086094,134.95000000000002,11.47,3.0,2,0,0,0,0,-0.0
57132131,1432.2100000000014,2.59,1.0,21,0,0,0,0,-0.0
57337945,173.83000000000004,11.97,3.0,4,0,0,0,0,-42.285714285714285
